acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence
0.352,https://api.spotify.com/v1/audio-analysis/4Sng3wnol2Gb2yXgFdr9lj,0.685,207915,0.416,4Sng3wnol2Gb2yXgFdr9lj,8.73E-05,9,0.106,-8.609,0,0.0317,0.43745,119.992,4,https://api.spotify.com/v1/tracks/4Sng3wnol2Gb2yXgFdr9lj,audio_features,spotify:track:4Sng3wnol2Gb2yXgFdr9lj,0.696
0.716,https://api.spotify.com/v1/audio-analysis/5Y3vhOJCnVSsE0LzKmUz4L,0.412,147477,0.389,5Y3vhOJCnVSsE0LzKmUz4L,3.95E-06,11,0.109,-9.113,0,0.0576,0.10181875,66.291,4,https://api.spotify.com/v1/tracks/5Y3vhOJCnVSsE0LzKmUz4L,audio_features,spotify:track:5Y3vhOJCnVSsE0LzKmUz4L,0.385
0.413,https://api.spotify.com/v1/audio-analysis/3UgBLWFgadLahNGxTDYG2d,0.572,206701,0.718,3UgBLWFgadLahNGxTDYG2d,0,11,0.112,-5.771,0,0.0556,0.18649375,79.839,4,https://api.spotify.com/v1/tracks/3UgBLWFgadLahNGxTDYG2d,audio_features,spotify:track:3UgBLWFgadLahNGxTDYG2d,0.877
0.757,https://api.spotify.com/v1/audio-analysis/5AS7el6HMlK5YcGeUSxR1n,0.807,232253,0.67,5AS7el6HMlK5YcGeUSxR1n,1.01E-06,1,0.123,-6.255,1,0.0871,0.3746875,109.95,4,https://api.spotify.com/v1/tracks/5AS7el6HMlK5YcGeUSxR1n,audio_features,spotify:track:5AS7el6HMlK5YcGeUSxR1n,0.243
0.0209,https://api.spotify.com/v1/audio-analysis/4n7jnSxVLd8QioibtTDBDq,0.509,193798,0.689,4n7jnSxVLd8QioibtTDBDq,0,1,0.301,-4.929,0,0.102,0.75054375,170.087,4,https://api.spotify.com/v1/tracks/4n7jnSxVLd8QioibtTDBDq,audio_features,spotify:track:4n7jnSxVLd8QioibtTDBDq,0.297
0.122,https://api.spotify.com/v1/audio-analysis/3oTB0j7PKUvKlhGgCPITbp,0.804,206289,0.551,3oTB0j7PKUvKlhGgCPITbp,0,7,0.119,-8.983,1,0.116,0.5873125,143.97,4,https://api.spotify.com/v1/tracks/3oTB0j7PKUvKlhGgCPITbp,audio_features,spotify:track:3oTB0j7PKUvKlhGgCPITbp,0.624
0.739,https://api.spotify.com/v1/audio-analysis/06xumedOehK5y544tt56Cv,0.682,222720,0.298,06xumedOehK5y544tt56Cv,0,8,0.0856,-7.643,0,0.0363,0.43881875,120.211,4,https://api.spotify.com/v1/tracks/06xumedOehK5y544tt56Cv,audio_features,spotify:track:06xumedOehK5y544tt56Cv,0.365
0.513,https://api.spotify.com/v1/audio-analysis/4JHfs0fmHtk9IbaQ3CqXSD,0.577,262600,0.734,4JHfs0fmHtk9IbaQ3CqXSD,0,2,0.247,-5.139,0,0.0413,0.625775,150.124,4,https://api.spotify.com/v1/tracks/4JHfs0fmHtk9IbaQ3CqXSD,audio_features,spotify:track:4JHfs0fmHtk9IbaQ3CqXSD,0.647
0.161,https://api.spotify.com/v1/audio-analysis/6PPY3vA30TJ2SzVxh8i3Ot,0.462,172099,0.39,6PPY3vA30TJ2SzVxh8i3Ot,0.000726,9,0.219,-11.17,0,0.294,0.80378125,178.605,4,https://api.spotify.com/v1/tracks/6PPY3vA30TJ2SzVxh8i3Ot,audio_features,spotify:track:6PPY3vA30TJ2SzVxh8i3Ot,0.428
0.0607,https://api.spotify.com/v1/audio-analysis/1pq9w58vpi5nnEllpgl1tF,0.746,270047,0.802,1pq9w58vpi5nnEllpgl1tF,9.29E-06,8,0.143,-6.59,0,0.0575,0.5125625,132.01,4,https://api.spotify.com/v1/tracks/1pq9w58vpi5nnEllpgl1tF,audio_features,spotify:track:1pq9w58vpi5nnEllpgl1tF,0.816
0.389,https://api.spotify.com/v1/audio-analysis/3Oy9rXeH7qUARGfiSSZNb7,0.514,223519,0.67,3Oy9rXeH7qUARGfiSSZNb7,2.53E-06,7,0.102,-7.127,0,0.0502,0.5995375,145.926,4,https://api.spotify.com/v1/tracks/3Oy9rXeH7qUARGfiSSZNb7,audio_features,spotify:track:3Oy9rXeH7qUARGfiSSZNb7,0.448
