year,rank,artist,id,genres,popularity,followers
2015,99,Elle King,3bhu7P5PfngueRHiB9hjcx,['pop rock'],65,307766
2015,100,Enrique Iglesias,7qG3b048QCHVRO5Pv1T5lw,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']",80,8228652
2014,1,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",85,12783784
2014,2,Katy Perry,6jJ0s89eD6GaHleKKya26X,"['dance pop', 'pop', 'post-teen pop']",85,12673193
2014,3,Beyonce,6vWDO969PvNqNYHIOW5v0m,"['dance pop', 'pop', 'post-teen pop', 'r&b']",86,18199637
2014,4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,"['dance pop', 'pop', 'post-teen pop']",89,19147445
2014,5,Justin Timberlake,31TPClRtHm23RisEBtV3X7,"['dance pop', 'pop']",83,7840587
2014,6,Iggy Azalea,5yG7ZAZafVaAlMTeBybKAL,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b']",76,3909116
2014,7,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,"['dance pop', 'pop', 'post-teen pop']",98,27818380
2014,8,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,"['dance pop', 'pop', 'post-teen pop']",84,8442273
2014,9,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,"['dance pop', 'pop', 'pop rap']",81,2716284
2014,10,Eminem,7dGJo4pcD2V6oG8kP0tJRR,"['detroit hip hop', 'g funk', 'hip hop', 'rap']",93,25932464
2014,11,Lorde,163tK9Wjr9P9DmM0AVK7lm,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",78,4265252
2014,12,Luke Bryan,0BvkDsjIUla7X0k6CSWh1I,"['contemporary country', 'country', 'country road']",79,3897779
2014,13,Sam Smith,2wY79sveU1sp5g7SokKOiI,"['pop', 'post-teen pop']",91,8307967
2014,14,John Legend,5y2Xq6xcjJb2jVM54GHK3t,"['neo soul', 'pop', 'r&b', 'urban contemporary']",81,4503377
2014,15,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rap', 'pop rock', 'post-teen pop']",83,7344479
