acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo_normalised,tempo,time_signature,track_href,type,uri,valence,0
0.281,https://api.spotify.com/v1/audio-analysis/2w5wtWq30yTkNSG9YjMFvW,0.55,224000,0.488,2w5wtWq30yTkNSG9YjMFvW,0,8,0.372,-9.425,1,0.196,0.1882,80.112,4,https://api.spotify.com/v1/tracks/2w5wtWq30yTkNSG9YjMFvW,audio_features,spotify:track:2w5wtWq30yTkNSG9YjMFvW,0.108,
0.425,https://api.spotify.com/v1/audio-analysis/1VNARx6Sm6ZYAsDMCGiU1B,0.571,205267,0.762,1VNARx6Sm6ZYAsDMCGiU1B,7.55E-06,10,0.114,-8.225,1,0.46,0.4648875,124.382,4,https://api.spotify.com/v1/tracks/1VNARx6Sm6ZYAsDMCGiU1B,audio_features,spotify:track:1VNARx6Sm6ZYAsDMCGiU1B,0.467,
0.689,https://api.spotify.com/v1/audio-analysis/0LQ1J0BCzA2qnAgp9MkkNE,0.719,206550,0.825,0LQ1J0BCzA2qnAgp9MkkNE,0,5,0.103,-3.627,0,0.0424,0.3125375,100.006,4,https://api.spotify.com/v1/tracks/0LQ1J0BCzA2qnAgp9MkkNE,audio_features,spotify:track:0LQ1J0BCzA2qnAgp9MkkNE,0.789,
0.15,https://api.spotify.com/v1/audio-analysis/0UuqwLM3UFmwcXSJgfFHvr,0.786,205594,0.483,0UuqwLM3UFmwcXSJgfFHvr,4.32E-05,0,0.0903,-11.302,0,0.216,0.581625,143.06,4,https://api.spotify.com/v1/tracks/0UuqwLM3UFmwcXSJgfFHvr,audio_features,spotify:track:0UuqwLM3UFmwcXSJgfFHvr,0.671,
0.169,https://api.spotify.com/v1/audio-analysis/3SPMfYd6tTY9paDekK8KB2,0.47,193151,0.517,3SPMfYd6tTY9paDekK8KB2,0,11,0.106,-8.205,0,0.0378,0.600975,146.156,4,https://api.spotify.com/v1/tracks/3SPMfYd6tTY9paDekK8KB2,audio_features,spotify:track:3SPMfYd6tTY9paDekK8KB2,0.552,
0.426,https://api.spotify.com/v1/audio-analysis/3590AAEoqH50z4UmhMIY85,0.425,230667,0.638,3590AAEoqH50z4UmhMIY85,0,1,0.177,-3.184,0,0.0759,0.196225,81.396,4,https://api.spotify.com/v1/tracks/3590AAEoqH50z4UmhMIY85,audio_features,spotify:track:3590AAEoqH50z4UmhMIY85,0.45,
0.139,https://api.spotify.com/v1/audio-analysis/50Im1CDeBfRbJUPacCEIOS,0.44,196253,0.587,50Im1CDeBfRbJUPacCEIOS,0,10,0.0903,-8.337,0,0.0851,0.2086875,83.39,4,https://api.spotify.com/v1/tracks/50Im1CDeBfRbJUPacCEIOS,audio_features,spotify:track:50Im1CDeBfRbJUPacCEIOS,0.594,
0.0369,https://api.spotify.com/v1/audio-analysis/5sMechyaVyijGsbp01E9x2,0.712,171907,0.665,5sMechyaVyijGsbp01E9x2,0,0,0.113,-6.289,1,0.0915,0.29969375,97.951,4,https://api.spotify.com/v1/tracks/5sMechyaVyijGsbp01E9x2,audio_features,spotify:track:5sMechyaVyijGsbp01E9x2,0.242,
0.0328,https://api.spotify.com/v1/audio-analysis/0E5bmLyxyiHsmc82D5gsiY,0.896,174000,0.523,0E5bmLyxyiHsmc82D5gsiY,0.0243,1,0.123,-6.858,1,0.256,0.31255,100.008,4,https://api.spotify.com/v1/tracks/0E5bmLyxyiHsmc82D5gsiY,audio_features,spotify:track:0E5bmLyxyiHsmc82D5gsiY,0.0662,
0.276,https://api.spotify.com/v1/audio-analysis/2xjxaKiYssIdDU6DCPpZPt,0.661,228288,0.777,2xjxaKiYssIdDU6DCPpZPt,1.81E-06,8,0.252,-3.156,1,0.0618,0.18724375,79.959,4,https://api.spotify.com/v1/tracks/2xjxaKiYssIdDU6DCPpZPt,audio_features,spotify:track:2xjxaKiYssIdDU6DCPpZPt,0.619,
0.137,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,0.703,198947,0.66,0YammaEkYSeo9vQYZ1OwS6,0,10,0.192,-5.119,0,0.123,0.28144375,95.031,4,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,audio_features,spotify:track:0YammaEkYSeo9vQYZ1OwS6,0.79,
